                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1066,                 3.3073,                 2.3066,                0.00513,                      1,                0.06424,                0.02198,                 1.6834,                 3.4723,                 2.0451,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.6647,                 3.1705,                 1.9049,                0.00525,                      1,                0.11324,                0.04782,                 1.6297,                  3.447,                 1.9813,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.3687,                 3.0726,                 1.6768,                0.00552,                      1,                0.27533,                0.11347,                 1.5808,                  3.457,                 1.9048,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                 1.6995,                   2.98,                  1.992,                0.00576,                      1,                0.67561,                0.27444,                  1.519,                 3.4038,                  1.856,             0.00011322,             0.00011322,             0.00011322
                      5,                 1.4692,                 2.5474,                 1.6319,                0.00591,                      1,                0.82054,                0.31349,                 1.5084,                 3.3561,                 1.8151,             0.00014409,             0.00014409,             0.00014409
                      6,                 1.7367,                 2.4149,                 1.7381,                0.00583,                      1,                0.89657,                0.34608,                  1.511,                 3.2599,                 1.8043,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.8727,                 2.0449,                   1.89,                0.00553,                0.94444,                0.91589,                0.36447,                 1.5751,                 3.1248,                  1.839,             0.00020384,             0.00020384,             0.00020384
                      8,                 1.4903,                 1.8638,                 1.6088,                0.00594,                      1,                0.87815,                0.39919,                 1.6518,                 2.9519,                 1.9522,             0.00023272,             0.00023272,             0.00023272
                      9,                 1.5302,                 2.0379,                  1.714,                0.01485,                0.94444,                0.87208,                0.38758,                  1.651,                 2.8742,                 2.0059,             0.00026095,             0.00026095,             0.00026095
                     10,                 1.6333,                 1.9855,                 1.7014,                0.28576,                0.94444,                0.87055,                0.40958,                 1.6584,                 2.8077,                 2.0336,             0.00028851,             0.00028851,             0.00028851
                     11,                 1.5585,                  1.908,                 1.6793,                0.00784,                0.94444,                0.84391,                0.42005,                  1.633,                 2.8471,                 1.9321,             0.00031541,             0.00031541,             0.00031541
