                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89024,                 3.0292,                 2.9733,                 1.1424,                0.00707,                      1,                0.18894,                0.12469,                0.00707,                      1,                0.14917,                0.08891,                0.67695,                 2.1599,                 2.8389,                0.99529,                      0,                      0,                      0
                      2,                0.86108,                 2.7686,                 2.9486,                  1.091,                0.00707,                      1,                0.20058,                0.13763,                0.00707,                      1,                0.16577,                0.09823,                0.67817,                 2.1536,                 2.8369,                0.99642,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                0.95178,                  3.402,                 3.0404,                 1.1146,                0.00711,                      1,                0.22868,                 0.1454,                0.00711,                      1,                0.17287,                0.10355,                0.68236,                 2.1633,                 2.8359,                0.99448,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.89787,                  2.749,                 2.9478,                 1.1242,                0.00711,                      1,                0.21499,                0.13994,                0.00711,                      1,                0.17989,                0.09988,                0.67972,                 2.1591,                 2.8376,                0.99112,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.87275,                 2.7818,                 2.9306,                 1.1285,                0.00716,                      1,                0.22397,                0.15206,                0.00716,                      1,                 0.1889,                0.11254,                0.67733,                 2.1444,                 2.8381,                0.99078,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.86942,                 3.0566,                 2.9679,                 1.1034,                 0.0072,                      1,                0.41713,                0.32162,                0.00692,                0.96875,                0.38898,                0.27553,                0.52367,                 1.5492,                 2.8121,                0.89641,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 0.6763,                 1.9336,                 2.8256,                  1.034,                0.00715,                      1,                0.65606,                0.53778,                0.00715,                      1,                0.64767,                 0.4609,                0.52627,                 1.3761,                 2.8121,                 0.8849,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.63636,                 1.5532,                 2.6869,                 1.0252,                0.00712,                      1,                0.90941,                0.76196,                0.00712,                      1,                0.90941,                0.66178,                0.56521,                 1.2867,                 2.8079,                0.89053,              0.0001086,              0.0001086,              0.0001086
                      9,                0.57441,                 1.4354,                 2.4377,                0.93078,                0.00703,                      1,                0.99324,                0.84197,                0.00703,                      1,                0.99324,                0.78116,                0.54754,                 1.1582,                  2.781,                  0.874,              0.0001228,              0.0001228,              0.0001228
                     10,                0.57164,                 1.3147,                 2.2179,                0.91872,                0.00696,                      1,                  0.995,                0.82757,                0.00696,                      1,                  0.995,                0.79662,                0.56292,                 1.0503,                 2.7416,                0.86364,             0.00013666,             0.00013666,             0.00013666
                     11,                0.54916,                 1.1615,                 1.9674,                0.94731,                0.00688,                      1,                  0.995,                0.80771,                0.00688,                      1,                  0.995,                0.79933,                0.59842,                 1.0336,                 2.6896,                0.86744,              0.0001502,              0.0001502,              0.0001502
