                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90713,                 2.5682,                  3.007,                 1.0901,                0.00706,                      1,                 0.1975,                0.13292,                0.00706,                      1,                0.16054,                0.09554,                0.67529,                 2.1648,                 2.9233,                 0.9939,                      0,                      0,                      0
                      2,                 1.0556,                 3.1017,                 3.0792,                 1.2212,                0.00706,                      1,                0.24798,                0.17712,                0.00706,                      1,                0.23383,                0.13734,                 0.6175,                 1.9518,                 2.9082,                0.96092,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                0.78505,                 2.6904,                 2.8877,                 1.0962,                0.00711,                      1,                0.35278,                0.24861,                0.00684,                0.96875,                0.32729,                 0.2116,                0.53612,                 1.6334,                 2.8936,                0.91067,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.83322,                 2.2247,                 2.8876,                 1.0444,                0.00715,                      1,                 0.4966,                0.39449,                0.00687,                0.96875,                0.44748,                0.33724,                0.48693,                 1.4178,                 2.8862,                0.87568,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.63212,                 1.6524,                 2.7691,                0.97636,                0.00717,                      1,                0.70968,                0.60926,                0.00717,                      1,                0.68327,                 0.5137,                0.49134,                 1.3419,                 2.8844,                0.86515,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.57491,                 1.4083,                  2.675,                 1.0109,                0.00716,                      1,                0.86083,                0.73264,                0.00688,                0.96875,                0.83012,                0.62264,                0.53156,                 1.2944,                 2.8841,                0.87213,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.57867,                  1.453,                   2.57,                 0.9541,                0.00715,                      1,                0.97407,                0.83414,                0.00715,                      1,                0.97407,                0.73335,                0.54473,                  1.213,                 2.8695,                0.86933,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.58939,                 1.4221,                 2.3724,                0.97057,                0.00713,                      1,                  0.995,                0.85533,                0.00713,                      1,                  0.995,                0.77114,                0.53011,                 1.1156,                 2.8521,                0.85615,              0.0001086,              0.0001086,              0.0001086
                      9,                0.56314,                 1.2579,                 2.1351,                0.91376,                 0.0071,                      1,                  0.995,                 0.8515,                 0.0071,                      1,                  0.995,                0.80246,                0.51959,                 1.0308,                 2.8193,                0.83964,              0.0001228,              0.0001228,              0.0001228
                     10,                0.56416,                 1.1112,                  1.898,                0.92588,                0.00706,                      1,                  0.995,                  0.854,                0.00706,                      1,                  0.995,                0.81685,                  0.523,                0.98354,                 2.7703,                0.83832,             0.00013666,             0.00013666,             0.00013666
                     11,                0.51065,                0.95268,                 1.5539,                0.91213,                0.00706,                      1,                  0.995,                0.83542,                0.00706,                      1,                  0.995,                0.81596,                0.54561,                0.96989,                 2.7074,                0.84433,              0.0001502,              0.0001502,              0.0001502
                     12,                0.52319,                0.86727,                 1.3687,                0.88818,                 0.0071,                      1,                  0.995,                0.83712,                 0.0071,                      1,                  0.995,                0.82169,                0.57069,                 1.0136,                 2.6052,                0.87067,              0.0001634,              0.0001634,              0.0001634
                     13,                0.60541,                0.94707,                 1.3321,                0.95605,                0.00711,                      1,                0.99167,                0.83319,                0.00711,                      1,                0.99167,                0.81584,                0.60398,                 1.0749,                  2.479,                0.91317,             0.00017628,             0.00017628,             0.00017628
                     14,                0.53597,                 0.8634,                 1.1328,                0.90608,                      1,                 0.4782,                0.97083,                0.80555,                      1,                 0.4782,                0.97083,                0.79695,                0.60073,                 1.1401,                   2.37,                0.92851,             0.00018882,             0.00018882,             0.00018882
                     15,                0.54225,                0.86382,                 1.0843,                0.88385,                0.98571,                    0.5,                0.91202,                0.77027,                0.98571,                    0.5,                0.91202,                0.76762,                0.61658,                 1.1393,                 2.2884,                0.95125,             0.00020103,             0.00020103,             0.00020103
                     16,                0.48294,                0.77263,                 1.0018,                0.91196,                0.98245,                    0.5,                0.85917,                0.73546,                0.98245,                    0.5,                0.85917,                0.74761,                0.64437,                 1.0851,                 2.2673,                0.95677,             0.00021292,             0.00021292,             0.00021292
                     17,                0.52127,                0.82105,                 0.9752,                0.94669,                 0.9835,                    0.5,                0.87848,                 0.7354,                 0.9835,                    0.5,                0.87848,                0.76632,                0.64112,                 1.0148,                 2.2804,                0.93725,             0.00022447,             0.00022447,             0.00022447
                     18,                0.48987,                0.75479,                0.83213,                0.90921,                 0.9835,                    0.5,                0.87848,                 0.7354,                 0.9835,                    0.5,                0.87848,                0.76632,                0.64112,                 1.0148,                 2.2804,                0.93725,              0.0002357,              0.0002357,              0.0002357
                     19,                0.57647,                0.77569,                0.97447,                0.93759,                0.98527,                    0.5,                0.95986,                0.79913,                0.98527,                    0.5,                0.95986,                0.80183,                0.60792,                0.93524,                 2.3499,                0.87264,             0.00024659,             0.00024659,             0.00024659
                     20,                0.52954,                 0.8154,                0.88435,                0.86271,                0.98527,                    0.5,                0.95986,                0.79913,                0.98527,                    0.5,                0.95986,                0.80183,                0.60792,                0.93524,                 2.3499,                0.87264,             0.00025715,             0.00025715,             0.00025715
                     21,                0.51513,                 0.7826,                0.85817,                 0.8943,                0.97035,                0.49591,                0.97509,                0.78327,                0.97035,                0.49591,                0.97509,                0.80507,                0.59713,                0.89768,                 2.4798,                0.86928,             0.00026739,             0.00026739,             0.00026739
                     22,                0.50334,                0.75705,                0.91187,                0.89051,                0.97035,                0.49591,                0.97509,                0.78327,                0.97035,                0.49591,                0.97509,                0.80507,                0.59713,                0.89768,                 2.4798,                0.86928,             0.00027729,             0.00027729,             0.00027729
                     23,                0.47761,                0.71576,                0.88237,                0.88386,                0.99591,                    0.5,                0.98833,                0.79939,                0.99591,                    0.5,                0.98833,                 0.8155,                0.57689,                0.92815,                 2.4104,                0.87454,             0.00028686,             0.00028686,             0.00028686
                     24,                0.46602,                0.59363,                0.78945,                0.89185,                0.99591,                    0.5,                0.98833,                0.79939,                0.99591,                    0.5,                0.98833,                 0.8155,                0.57689,                0.92815,                 2.4104,                0.87454,             0.00029611,             0.00029611,             0.00029611
                     25,                0.43558,                0.71845,                  0.821,                0.87021,                 0.9785,                    0.5,                  0.989,                0.83535,                 0.9785,                    0.5,                  0.989,                0.83258,                0.59431,                 1.0243,                 2.2577,                0.87479,             0.00030502,             0.00030502,             0.00030502
                     26,                0.54486,                0.76247,                 0.8118,                0.91965,                 0.9785,                    0.5,                  0.989,                0.83535,                 0.9785,                    0.5,                  0.989,                0.83258,                0.59431,                 1.0243,                 2.2577,                0.87479,              0.0003136,              0.0003136,              0.0003136
                     27,                0.49184,                0.78101,                0.77136,                0.87671,                  0.973,                    0.5,                0.99026,                0.81086,                  0.973,                    0.5,                0.99026,                0.83934,                0.60445,                 1.0699,                 2.0612,                0.87071,             0.00032186,             0.00032186,             0.00032186
                     28,                0.52082,                0.71937,                0.87035,                0.94148,                  0.973,                    0.5,                0.99026,                0.81086,                  0.973,                    0.5,                0.99026,                0.83934,                0.60445,                 1.0699,                 2.0612,                0.87071,             0.00032978,             0.00032978,             0.00032978
                     29,                0.53779,                0.73741,                0.83854,                0.91181,                 0.9723,                    0.5,                0.99167,                0.80053,                 0.9723,                    0.5,                0.99167,                0.83881,                0.60689,                 1.0545,                 1.9074,                0.86076,             0.00033737,             0.00033737,             0.00033737
                     30,                 0.4618,                 0.7639,                0.75385,                 0.8918,                 0.9723,                    0.5,                0.99167,                0.80053,                 0.9723,                    0.5,                0.99167,                0.83881,                0.60689,                 1.0545,                 1.9074,                0.86076,             0.00034464,             0.00034464,             0.00034464
                     31,                0.49363,                0.73678,                 0.7734,                0.88735,                0.97246,                    0.5,                  0.995,                 0.8248,                0.97246,                    0.5,                  0.995,                0.84871,                0.62117,                0.97976,                 1.8032,                0.85332,             0.00035157,             0.00035157,             0.00035157
                     32,                0.44301,                0.70443,                0.73545,                 0.8727,                0.97246,                    0.5,                  0.995,                 0.8248,                0.97246,                    0.5,                  0.995,                0.84871,                0.62117,                0.97976,                 1.8032,                0.85332,             0.00035817,             0.00035817,             0.00035817
                     33,                0.58218,                0.77259,                0.78914,                0.85956,                 0.9726,                0.57271,                  0.995,                0.82805,                 0.9726,                0.57271,                  0.995,                0.85141,                0.62485,                0.91189,                 1.7686,                0.85713,             0.00036445,             0.00036445,             0.00036445
                     34,                0.41962,                0.60437,                0.69564,                0.89999,                 0.9726,                0.57271,                  0.995,                0.82805,                 0.9726,                0.57271,                  0.995,                0.85141,                0.62485,                0.91189,                 1.7686,                0.85713,             0.00037039,             0.00037039,             0.00037039
                     35,                0.49325,                0.67809,                0.66964,                0.83872,                0.97228,                0.57977,                0.99324,                 0.8358,                0.97228,                0.57977,                0.99324,                0.85103,                0.59122,                0.91459,                 1.6979,                0.85923,               0.000376,               0.000376,               0.000376
                     36,                0.45425,                0.69154,                 0.7269,                 0.8894,                0.97228,                0.57977,                0.99324,                 0.8358,                0.97228,                0.57977,                0.99324,                0.85103,                0.59122,                0.91459,                 1.6979,                0.85923,             0.00038128,             0.00038128,             0.00038128
                     37,                0.50291,                0.70164,                0.68692,                 0.9089,                0.97182,                0.62516,                0.99167,                0.83395,                0.97182,                0.62516,                0.99167,                0.83693,                0.58273,                0.95071,                  1.562,                0.86929,             0.00038624,             0.00038624,             0.00038624
                     38,                0.47181,                0.65779,                0.67313,                0.90167,                0.97182,                0.62516,                0.99167,                0.83395,                0.97182,                0.62516,                0.99167,                0.83693,                0.58273,                0.95071,                  1.562,                0.86929,             0.00039086,             0.00039086,             0.00039086
                     39,                0.43948,                0.58337,                0.74322,                  0.902,                0.94478,                0.60352,                0.99167,                0.82601,                0.94478,                0.60352,                0.99167,                0.83144,                0.59224,                0.98386,                 1.5285,                0.89008,             0.00039515,             0.00039515,             0.00039515
                     40,                0.46763,                0.66952,                0.71245,                0.88732,                0.94478,                0.60352,                0.99167,                0.82601,                0.94478,                0.60352,                0.99167,                0.83144,                0.59224,                0.98386,                 1.5285,                0.89008,             0.00039911,             0.00039911,             0.00039911
                     41,                 0.5146,                0.74816,                0.74641,                0.87723,                0.97112,                0.57907,                0.99324,                0.81563,                0.97112,                0.57907,                0.99324,                0.84657,                 0.5931,                0.98582,                 1.5385,                0.87645,             0.00040275,             0.00040275,             0.00040275
                     42,                0.48343,                 0.7299,                0.71319,                0.87803,                0.97112,                0.57907,                0.99324,                0.81563,                0.97112,                0.57907,                0.99324,                0.84657,                 0.5931,                0.98582,                 1.5385,                0.87645,             0.00040605,             0.00040605,             0.00040605
                     43,                0.44283,                0.67971,                0.67184,                 0.8589,                0.97177,                0.59082,                0.99167,                0.80841,                0.97177,                0.59082,                0.99167,                0.86097,                 0.6004,                0.93986,                 1.6338,                 0.8584,             0.00040902,             0.00040902,             0.00040902
                     44,                0.51112,                0.68982,                0.66688,                0.88642,                0.97177,                0.59082,                0.99167,                0.80841,                0.97177,                0.59082,                0.99167,                0.86097,                 0.6004,                0.93986,                 1.6338,                 0.8584,             0.00041166,             0.00041166,             0.00041166
                     45,                0.47921,                0.69053,                0.67017,                0.86374,                0.97174,                0.58013,                  0.995,                0.81506,                0.97174,                0.58013,                  0.995,                0.86992,                0.60925,                0.90513,                 1.6733,                0.86216,             0.00041398,             0.00041398,             0.00041398
                     46,                0.51655,                0.64124,                0.65802,                0.93726,                0.97174,                0.58013,                  0.995,                0.81506,                0.97174,                0.58013,                  0.995,                0.86992,                0.60925,                0.90513,                 1.6733,                0.86216,             0.00041596,             0.00041596,             0.00041596
                     47,                0.46225,                0.68582,                0.65388,                 0.8802,                0.97178,                0.61984,                  0.995,                0.82899,                0.97178,                0.61984,                  0.995,                0.87283,                0.59731,                0.91112,                 1.6107,                0.85755,             0.00041761,             0.00041761,             0.00041761
                     48,                0.46608,                0.70253,                0.64049,                0.87451,                0.97178,                0.61984,                  0.995,                0.82899,                0.97178,                0.61984,                  0.995,                0.87283,                0.59731,                0.91112,                 1.6107,                0.85755,             0.00041893,             0.00041893,             0.00041893
                     49,                0.48967,                0.68099,                0.64395,                 0.8712,                0.97173,                0.64371,                  0.995,                  0.848,                0.97173,                0.64371,                  0.995,                 0.8689,                0.58911,                0.92352,                  1.556,                0.85561,             0.00041992,             0.00041992,             0.00041992
                     50,                0.48292,                0.81327,                0.74304,                0.92305,                0.97173,                0.64371,                  0.995,                  0.848,                0.97173,                0.64371,                  0.995,                 0.8689,                0.58911,                0.92352,                  1.556,                0.85561,             0.00042059,             0.00042059,             0.00042059
                     51,                 0.4634,                  0.595,                0.61396,                0.88397,                0.97177,                0.65536,                  0.995,                0.84011,                0.97177,                0.65536,                  0.995,                0.86997,                 0.5973,                0.94995,                 1.5137,                0.87586,             0.00042092,             0.00042092,             0.00042092
                     52,                0.43147,                0.68933,                0.61291,                0.85482,                0.97177,                0.65536,                  0.995,                0.84011,                0.97177,                0.65536,                  0.995,                0.86997,                 0.5973,                0.94995,                 1.5137,                0.87586,             0.00042092,             0.00042092,             0.00042092
                     53,                 0.4457,                0.64505,                0.61842,                0.87017,                0.97177,                0.65536,                  0.995,                0.84011,                0.97177,                0.65536,                  0.995,                0.86997,                 0.5973,                0.94995,                 1.5137,                0.87586,             0.00042059,             0.00042059,             0.00042059
                     54,                0.47625,                0.66486,                 0.6676,                0.89013,                0.97201,                0.80427,                  0.995,                  0.842,                0.97201,                0.80427,                  0.995,                0.86049,                 0.5813,                0.95217,                 1.5065,                0.86111,             0.00041993,             0.00041993,             0.00041993
                     55,                0.49845,                 0.6696,                0.67242,                0.90284,                0.97201,                0.80427,                  0.995,                  0.842,                0.97201,                0.80427,                  0.995,                0.86049,                 0.5813,                0.95217,                 1.5065,                0.86111,             0.00041894,             0.00041894,             0.00041894
                     56,                0.44691,                0.67452,                0.62076,                0.86878,                0.97201,                0.80427,                  0.995,                  0.842,                0.97201,                0.80427,                  0.995,                0.86049,                 0.5813,                0.95217,                 1.5065,                0.86111,             0.00041763,             0.00041763,             0.00041763
                     57,                0.40689,                 0.7082,                0.65011,                0.89133,                0.97207,                0.89288,                  0.995,                0.84073,                0.97207,                0.89288,                  0.995,                0.86439,                0.55945,                0.93063,                 1.4588,                0.82598,             0.00041598,             0.00041598,             0.00041598
                     58,                0.46293,                0.59959,                0.64797,                0.91166,                0.97207,                0.89288,                  0.995,                0.84073,                0.97207,                0.89288,                  0.995,                0.86439,                0.55945,                0.93063,                 1.4588,                0.82598,               0.000414,               0.000414,               0.000414
                     59,                0.47702,                0.70475,                0.67994,                0.87491,                0.97207,                0.89288,                  0.995,                0.84073,                0.97207,                0.89288,                  0.995,                0.86439,                0.55945,                0.93063,                 1.4588,                0.82598,             0.00041169,             0.00041169,             0.00041169
                     60,                0.43333,                0.74516,                0.63955,                0.87654,                0.97224,                0.95002,                  0.995,                0.85423,                0.97224,                0.95002,                  0.995,                0.86587,                0.54578,                0.91994,                 1.3576,                0.81551,             0.00040905,             0.00040905,             0.00040905
                     61,                 0.5153,                0.79669,                0.64126,                0.89113,                0.97224,                0.95002,                  0.995,                0.85423,                0.97224,                0.95002,                  0.995,                0.86587,                0.54578,                0.91994,                 1.3576,                0.81551,             0.00040608,             0.00040608,             0.00040608
