                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86051,                 2.9046,                 1.1438,                0.00727,                      1,                0.27853,                0.20758,                0.71204,                 2.9086,                 1.0553,                      0,                      0,                      0
                      2,                0.81227,                 2.9499,                 1.0794,                0.00724,                      1,                0.29343,                0.20916,                0.70699,                 2.9075,                 1.0509,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                0.93435,                 2.9672,                 1.1486,                 0.0072,                      1,                0.29052,                0.22051,                0.70292,                 2.9095,                 1.0482,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                0.92047,                 2.9492,                 1.1538,                0.00719,                      1,                0.28967,                0.22105,                0.69851,                 2.9104,                 1.0461,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                0.90715,                 2.9348,                 1.1575,                0.00711,                      1,                0.56071,                0.45597,                0.65268,                 2.8994,                 1.0295,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.73833,                 2.8057,                   1.05,                0.00709,                      1,                0.69312,                0.58781,                0.60433,                 2.8582,                0.99623,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 0.6936,                  2.677,                 1.0152,                0.00703,                      1,                0.78028,                 0.6805,                0.56346,                 2.8422,                0.94803,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.57531,                 2.4557,                 1.0092,                0.00697,                      1,                0.84111,                0.75297,                0.52348,                 2.7987,                0.88118,              0.0001086,              0.0001086,              0.0001086
                      9,                0.65087,                 2.2782,                0.97208,                0.00694,                      1,                0.89275,                0.79353,                0.51162,                 2.7622,                0.85168,              0.0001228,              0.0001228,              0.0001228
                     10,                 0.5918,                 2.0687,                  0.935,                0.00685,                      1,                 0.9296,                0.82635,                0.50025,                 2.7205,                0.84559,             0.00013666,             0.00013666,             0.00013666
                     11,                  0.555,                 1.8115,                0.93581,                0.00674,                      1,                0.92482,                0.81379,                0.53448,                 2.6452,                0.86396,              0.0001502,              0.0001502,              0.0001502
                     12,                  0.536,                 1.4117,                0.91197,                0.00667,                      1,                0.87695,                0.77489,                0.56564,                 2.5654,                0.89295,              0.0001634,              0.0001634,              0.0001634
                     13,                0.48982,                 1.2367,                0.90281,                0.01106,                      1,                0.85813,                0.74382,                0.59157,                  2.493,                0.91891,             0.00017628,             0.00017628,             0.00017628
                     14,                0.59625,                 1.1627,                0.89863,                      1,                0.38836,                0.84724,                 0.7213,                0.60161,                 2.4354,                0.91633,             0.00018882,             0.00018882,             0.00018882
                     15,                0.55362,                 1.1446,                0.91594,                      1,                0.26451,                0.85409,                 0.7114,                0.59539,                 2.4141,                 0.9015,             0.00020103,             0.00020103,             0.00020103
                     16,                0.53237,                 1.1221,                0.90595,                      1,                0.42314,                0.89238,                0.73256,                0.62823,                   2.43,                0.92076,             0.00021292,             0.00021292,             0.00021292
                     17,                 0.4871,                0.96118,                0.89204,                      1,                0.43626,                0.91268,                0.73159,                0.66522,                 2.4352,                 0.9345,             0.00022447,             0.00022447,             0.00022447
                     18,                 0.5401,                0.89853,                0.89207,                      1,                0.43626,                0.91268,                0.73159,                0.66522,                 2.4352,                 0.9345,              0.0002357,              0.0002357,              0.0002357
                     19,                0.51926,                0.86777,                0.88859,                      1,                0.41777,                0.94075,                0.76981,                0.69441,                 2.4074,                0.92721,             0.00024659,             0.00024659,             0.00024659
                     20,                0.52147,                0.86971,                0.89978,                      1,                0.41777,                0.94075,                0.76981,                0.69441,                 2.4074,                0.92721,             0.00025715,             0.00025715,             0.00025715
                     21,                0.50098,                0.85094,                0.88135,                      1,                0.48742,                0.94876,                0.80473,                 0.6771,                 2.3772,                0.89892,             0.00026739,             0.00026739,             0.00026739
                     22,                0.49563,                0.89788,                0.92375,                      1,                0.48742,                0.94876,                0.80473,                 0.6771,                 2.3772,                0.89892,             0.00027729,             0.00027729,             0.00027729
                     23,                0.45378,                0.81482,                 0.9259,                      1,                0.37544,                0.97786,                0.80326,                0.65579,                 2.4303,                 0.9013,             0.00028686,             0.00028686,             0.00028686
                     24,                0.53796,                0.88183,                 0.9135,                      1,                0.37544,                0.97786,                0.80326,                0.65579,                 2.4303,                 0.9013,             0.00029611,             0.00029611,             0.00029611
                     25,                0.50024,                0.82643,                0.90803,                      1,                0.45678,                0.95205,                0.73315,                0.63793,                 2.4213,                0.91794,             0.00030502,             0.00030502,             0.00030502
                     26,                0.47122,                0.80357,                0.88749,                      1,                0.45678,                0.95205,                0.73315,                0.63793,                 2.4213,                0.91794,              0.0003136,              0.0003136,              0.0003136
